Cell_ID,x,y
E14_E1S3_170808,19886.0,9330.0
E14_E1S3_170916,19889.0,9356.0
E14_E1S3_170934,19895.0,9306.0
E14_E1S3_171016,19906.0,9134.0
E14_E1S3_171024,19912.0,9110.0
E14_E1S3_171025,19907.0,9187.0
E14_E1S3_171102,19913.0,9242.0
E14_E1S3_171143,19926.0,9134.0
E14_E1S3_171161,19922.0,9305.0
E14_E1S3_171233,19928.0,9210.0
E14_E1S3_171256,19927.0,9172.0
E14_E1S3_171289,19941.0,9116.0
E14_E1S3_171303,19939.0,9609.0
E14_E1S3_171338,19954.0,9002.0
E14_E1S3_171341,19950.0,9451.0
E14_E1S3_171348,19951.0,9421.0
E14_E1S3_171417,19951.0,9532.0
E14_E1S3_171429,19961.0,9384.0
E14_E1S3_171489,19967.0,9104.0
E14_E1S3_171490,19974.0,9188.0
E14_E1S3_171491,19961.0,9590.0
E14_E1S3_171521,19967.0,9459.0
E14_E1S3_171533,19975.0,8933.0
E14_E1S3_171534,19976.0,9056.0
E14_E1S3_171553,19978.0,9009.0
E14_E1S3_171554,19977.0,9238.0
E14_E1S3_171555,19971.0,9500.0
E14_E1S3_171574,19980.0,9341.0
E14_E1S3_171581,19983.0,9540.0
E14_E1S3_171608,19992.0,9277.0
E14_E1S3_171655,20000.0,9102.0
E14_E1S3_171670,19998.0,9364.0
E14_E1S3_171716,20007.0,9172.0
E14_E1S3_171770,20016.0,8789.0
E14_E1S3_171771,20010.0,9439.0
E14_E1S3_171791,20007.0,8738.0
E14_E1S3_171805,20018.0,8903.0
E14_E1S3_171838,20003.0,8977.0
E14_E1S3_171839,20014.0,9288.0
E14_E1S3_171863,20024.0,9512.0
E14_E1S3_171870,20021.0,8757.0
E14_E1S3_171880,20025.0,9087.0
E14_E1S3_171900,20012.5,8923.0
E14_E1S3_171920,20026.0,9161.0
E14_E1S3_171940,20032.0,8888.0
E14_E1S3_171966,20032.0,9295.0
E14_E1S3_171967,20040.0,9397.0
E14_E1S3_171982,20031.0,8727.5
E14_E1S3_171983,20040.0,9219.0
E14_E1S3_172008,20040.0,8751.0
E14_E1S3_172013,20036.0,9352.0
E14_E1S3_172026,20050.0,8958.0
E14_E1S3_172028,20040.0,9479.0
E14_E1S3_172036,20048.0,9248.0
E14_E1S3_172041,20040.0,9002.0
E14_E1S3_172046,20043.0,9181.0
E14_E1S3_172047,20039.0,9453.0
E14_E1S3_172064,20055.0,8768.0
E14_E1S3_172085,20053.0,9422.0
E14_E1S3_172118,20072.0,9208.0
E14_E1S3_172119,20056.0,9321.0
E14_E1S3_172129,20044.0,9556.0
E14_E1S3_172137,20052.0,9120.0
E14_E1S3_172142,20061.0,9594.0
E14_E1S3_172180,20060.0,9476.5
E14_E1S3_172181,20058.0,9532.0
E14_E1S3_172185,20063.0,9269.0
E14_E1S3_172186,20062.0,9153.0
E14_E1S3_172200,20063.0,8872.0
E14_E1S3_172201,20065.0,9055.0
E14_E1S3_172229,20064.0,8704.0
E14_E1S3_172230,20070.0,8985.0
E14_E1S3_172231,20066.0,9172.0
E14_E1S3_172233,20068.0,9299.0
E14_E1S3_172247,20083.0,8730.0
E14_E1S3_172253,20078.0,9093.0
E14_E1S3_172264,20080.0,8779.0
E14_E1S3_172276,20076.0,9127.0
E14_E1S3_172300,20082.0,8908.0
E14_E1S3_172301,20093.0,8963.0
E14_E1S3_172302,20081.0,9238.0
E14_E1S3_172303,20065.0,9368.0
E14_E1S3_172309,20079.0,9156.0
E14_E1S3_172318,20077.0,9572.0
E14_E1S3_172336,20081.0,8673.0
E14_E1S3_172341,20080.0,9405.0
E14_E1S3_172342,20089.0,9491.0
E14_E1S3_172349,20086.0,9268.0
E14_E1S3_172369,20092.0,8704.0
E14_E1S3_172370,20087.0,9531.5
E14_E1S3_172383,20084.0,9018.0
E14_E1S3_172384,20092.0,9327.0
E14_E1S3_172385,20084.0,9451.0
E14_E1S3_172392,20093.0,9643.0
E14_E1S3_172399,20100.0,8854.0
E14_E1S3_172418,20098.0,8810.0
E14_E1S3_172419,20082.0,9348.0
E14_E1S3_172433,20097.0,9590.0
E14_E1S3_172439,20105.0,8911.0
E14_E1S3_172440,20097.0,9060.0
E14_E1S3_172441,20099.5,9252.0
E14_E1S3_172460,20098.0,9165.0
E14_E1S3_172468,20099.0,9223.0
E14_E1S3_172483,20104.0,9394.0
E14_E1S3_172502,20108.0,9037.0
E14_E1S3_172506,20100.0,9306.0
E14_E1S3_172518,20119.0,9102.0
E14_E1S3_172519,20104.0,9283.5
E14_E1S3_172531,20119.0,9531.0
E14_E1S3_172546,20118.0,8751.0
E14_E1S3_172551,20113.0,9124.0
E14_E1S3_172555,20119.0,9244.0
E14_E1S3_172562,20114.0,9335.0
E14_E1S3_172563,20118.0,9569.0
E14_E1S3_172573,20118.0,9426.0
E14_E1S3_172574,20124.0,9457.0
E14_E1S3_172575,20120.0,9602.0
E14_E1S3_172584,20119.0,8683.0
E14_E1S3_172585,20132.0,8951.0
