Cell_ID,x,y
E12_E1S3_100034,15940.0,18584.0
E12_E1S3_100035,15942.0,18623.0
E12_E1S3_100191,15965.0,18619.0
E12_E1S3_100256,15969.0,18717.0
E12_E1S3_100264,15974.0,18692.0
E12_E1S3_100337,15974.0,18671.0
E12_E1S3_100346,15989.0,18544.0
E12_E1S3_100461,15997.0,18676.0
E12_E1S3_100502,16015.0,18447.0
E12_E1S3_100532,16014.0,18566.0
E12_E1S3_100550,16011.0,18715.0
E12_E1S3_100623,16023.0,18645.0
E12_E1S3_100635,16021.0,18686.0
E12_E1S3_100704,16037.0,18419.0
E12_E1S3_100709,16034.0,18670.0
E12_E1S3_100729,16039.0,18474.0
E12_E1S3_100734,16042.0,18537.0
E12_E1S3_100746,16041.0,18362.0
E12_E1S3_100795,16047.0,18648.0
E12_E1S3_100804,16048.0,18497.0
E12_E1S3_100820,16050.0,18515.0
E12_E1S3_100826,16049.0,18449.0
E12_E1S3_100841,16052.0,18427.0
E12_E1S3_100842,16050.0,18863.0
E12_E1S3_100850,16055.0,18830.0
E12_E1S3_100852,16058.0,18626.0
E12_E1S3_100867,16054.0,18483.0
E12_E1S3_100880,16062.0,18682.0
E12_E1S3_100890,16056.0,18401.0
E12_E1S3_100891,16058.0,18666.0
E12_E1S3_100892,16060.0,18797.0
E12_E1S3_100901,16061.0,18594.0
E12_E1S3_100908,16052.0,18724.0
E12_E1S3_100936,16064.0,18504.0
E12_E1S3_100950,16061.0,18774.0
E12_E1S3_100961,16067.0,18570.0
E12_E1S3_100970,16064.0,18528.0
E12_E1S3_100978,16075.0,18457.0
E12_E1S3_100981,16067.0,18545.0
E12_E1S3_100988,16074.0,18414.0
E12_E1S3_100995,16076.0,18704.0
E12_E1S3_101017,16071.0,18849.0
E12_E1S3_101032,16072.0,18604.0
E12_E1S3_101062,16085.0,18387.0
E12_E1S3_101074,16092.0,18488.0
E12_E1S3_101085,16085.0,18506.0
E12_E1S3_101086,16083.0,18725.0
E12_E1S3_101091,16085.0,18343.0
E12_E1S3_101102,16083.0,18657.0
E12_E1S3_101113,16089.0,18561.0
E12_E1S3_101114,16085.0,18617.0
E12_E1S3_101123,16081.0,18813.0
E12_E1S3_101136,16092.0,18416.0
E12_E1S3_101151,16092.0,18445.0
E12_E1S3_101152,16083.0,18636.0
E12_E1S3_101159,16096.0,18788.0
E12_E1S3_101169,16094.0,18829.0
E12_E1S3_101187,16098.0,18600.0
E12_E1S3_101194,16099.0,18510.0
E12_E1S3_101195,16095.0,18684.0
E12_E1S3_101201,16096.0,18739.0
E12_E1S3_101224,16095.0,18762.0
E12_E1S3_101260,16110.0,18417.0
E12_E1S3_101271,16115.0,18618.0
E12_E1S3_101272,16106.0,18644.0
E12_E1S3_101273,16111.0,18693.0
E12_E1S3_101286,16106.0,18325.0
E12_E1S3_101294,16111.0,18810.5
E12_E1S3_101300,16102.0,18374.0
E12_E1S3_101301,16110.0,18551.0
E12_E1S3_101302,16109.0,18833.0
E12_E1S3_101320,16114.0,18352.0
E12_E1S3_101327,16105.0,18536.0
E12_E1S3_101336,16112.0,18887.0
E12_E1S3_101342,16112.0,18579.0
E12_E1S3_101353,16113.0,18660.0
E12_E1S3_101381,16118.0,18447.0
E12_E1S3_101388,16117.0,18714.0
E12_E1S3_101412,16120.0,18476.0
E12_E1S3_101424,16131.0,18285.0
E12_E1S3_101425,16124.0,18398.0
E12_E1S3_101426,16119.0,18510.0
E12_E1S3_101427,16123.0,18675.0
E12_E1S3_101447,16129.0,18647.0
E12_E1S3_101458,16128.0,18550.0
E12_E1S3_101459,16129.0,18855.0
E12_E1S3_101465,16126.0,18794.0
E12_E1S3_101513,16130.0,18576.0
E12_E1S3_101514,16134.0,18690.0
E12_E1S3_101515,16134.0,18779.0
E12_E1S3_101526,16138.0,18341.0
E12_E1S3_101527,16130.0,18360.0
E12_E1S3_101532,16132.0,18756.0
E12_E1S3_101541,16139.0,18418.0
E12_E1S3_101542,16141.0,18582.0
E12_E1S3_101550,16142.0,18708.0
E12_E1S3_101558,16134.0,18392.0
E12_E1S3_101559,16136.0,18830.0
E12_E1S3_101566,16137.0,18631.0
E12_E1S3_101587,16140.0,18452.0
E12_E1S3_101596,16147.0,18651.0
E12_E1S3_101597,16146.0,18677.0
E12_E1S3_101624,16141.0,18373.5
E12_E1S3_101648,16153.0,18473.0
E12_E1S3_101649,16155.0,18843.0
E12_E1S3_101676,16153.0,18505.0
E12_E1S3_101686,16159.0,18352.0
E12_E1S3_101692,16157.0,18630.0
E12_E1S3_101693,16161.0,18729.0
E12_E1S3_101706,16159.0,18602.0
E12_E1S3_101715,16156.0,18439.0
E12_E1S3_101716,16173.0,18526.0
E12_E1S3_101720,16157.0,18320.0
E12_E1S3_101721,16163.0,18654.0
E12_E1S3_101740,16160.0,18294.0
E12_E1S3_101752,16163.0,18251.0
E12_E1S3_101753,16168.0,18424.0
E12_E1S3_101763,16164.0,18578.0
E12_E1S3_101764,16163.0,18828.0
E12_E1S3_101790,16168.0,18410.0
E12_E1S3_101791,16174.5,18559.0
E12_E1S3_101792,16178.0,18772.0
E12_E1S3_101804,16168.0,18702.0
E12_E1S3_101805,16165.0,18888.0
E12_E1S3_101813,16174.0,18332.0
E12_E1S3_101841,16172.0,18684.0
E12_E1S3_101842,16177.0,18737.0
E12_E1S3_101848,16187.0,18620.0
E12_E1S3_101858,16178.0,18596.0
E12_E1S3_101869,16176.0,18364.0
E12_E1S3_101882,16180.0,18444.0
E12_E1S3_101883,16182.0,18834.0
E12_E1S3_101894,16181.0,18211.0
E12_E1S3_101895,16184.0,18473.0
E12_E1S3_101896,16185.0,18802.0
E12_E1S3_101906,16183.0,18271.0
E12_E1S3_101939,16185.0,18906.0
E12_E1S3_101947,16183.0,18392.0
E12_E1S3_101965,16193.0,18293.0
E12_E1S3_101966,16197.0,18641.0
E12_E1S3_101984,16182.0,18493.0
E12_E1S3_101997,16192.0,18707.0
E12_E1S3_101998,16194.0,18750.0
E12_E1S3_102011,16186.0,18726.0
E12_E1S3_102012,16193.0,18867.0
E12_E1S3_102023,16200.0,18328.0
E12_E1S3_102033,16195.0,18823.0
