Cell_ID,x,y
E16_E1S3_21,3343.0,2743.0
E16_E1S3_22,3319.0,2907.0
E16_E1S3_23,3316.0,2305.0
E16_E1S3_26,3310.0,2803.0
E16_E1S3_27,3315.0,2349.0
E16_E1S3_28,3303.0,2866.0
E16_E1S3_29,3315.0,2494.0
E16_E1S3_31,3306.0,2678.0
E16_E1S3_32,3300.0,2527.0
E16_E1S3_33,3312.0,2617.0
E16_E1S3_34,3307.0,2263.0
E16_E1S3_35,3303.0,2207.0
E16_E1S3_36,3304.0,2822.0
E16_E1S3_37,3306.5,2475.0
E16_E1S3_38,3298.0,2104.0
E16_E1S3_39,3297.0,2174.0
E16_E1S3_40,3296.0,2134.0
E16_E1S3_41,3295.0,2396.0
E16_E1S3_42,3295.0,2231.0
E16_E1S3_43,3291.0,2934.0
E16_E1S3_44,3290.0,2715.0
E16_E1S3_45,3287.0,2777.0
E16_E1S3_46,3290.0,2339.0
E16_E1S3_47,3286.0,2273.0
E16_E1S3_48,3289.0,2997.0
E16_E1S3_49,3285.0,3080.0
E16_E1S3_50,3287.0,2437.0
E16_E1S3_51,3286.0,2801.0
E16_E1S3_52,3286.0,2458.0
E16_E1S3_53,3285.0,2005.0
E16_E1S3_54,3286.0,2896.0
E16_E1S3_55,3279.0,2081.0
E16_E1S3_56,3281.0,2964.0
E16_E1S3_57,3282.0,2408.0
E16_E1S3_58,3278.0,3054.0
E16_E1S3_59,3280.0,3024.0
E16_E1S3_60,3278.0,2319.0
E16_E1S3_61,3279.0,2294.0
E16_E1S3_62,3272.0,3108.0
E16_E1S3_63,3279.0,2869.0
E16_E1S3_64,3278.0,2570.0
E16_E1S3_65,3274.0,2021.0
E16_E1S3_66,3272.0,3213.0
E16_E1S3_67,3270.0,3143.0
E16_E1S3_68,3277.0,2528.0
E16_E1S3_69,3273.0,2714.0
E16_E1S3_70,3270.0,2853.0
E16_E1S3_71,3272.0,2631.0
E16_E1S3_72,3269.0,2603.0
E16_E1S3_74,3274.0,2547.0
E16_E1S3_75,3274.0,2173.0
E16_E1S3_76,3269.0,2129.0
E16_E1S3_77,3272.0,2104.0
E16_E1S3_78,3268.0,2910.0
E16_E1S3_79,3266.0,2658.0
E16_E1S3_80,3259.0,3186.0
E16_E1S3_81,3261.0,2045.0
E16_E1S3_82,3264.0,3124.0
E16_E1S3_84,3262.0,2766.0
E16_E1S3_85,3262.0,3018.0
E16_E1S3_86,3254.0,2425.0
E16_E1S3_87,3257.0,3165.0
E16_E1S3_88,3257.0,2003.0
E16_E1S3_89,3256.0,2962.0
E16_E1S3_90,3251.0,3250.0
E16_E1S3_91,3249.0,1932.0
E16_E1S3_92,3250.0,3149.0
E16_E1S3_93,3250.0,2261.0
E16_E1S3_94,3244.0,1955.0
E16_E1S3_95,3242.0,1837.0
E16_E1S3_96,3237.0,2475.0
E16_E1S3_98,3249.0,2067.0
E16_E1S3_99,3237.0,3102.0
E16_E1S3_100,3240.0,2513.0
E16_E1S3_102,3232.0,2625.0
E16_E1S3_103,3243.0,2222.0
E16_E1S3_104,3238.0,1978.0
E16_E1S3_105,3235.0,3268.0
E16_E1S3_107,3239.0,2851.0
E16_E1S3_108,3240.0,2004.0
E16_E1S3_109,3236.0,1895.0
E16_E1S3_111,3233.0,2947.0
E16_E1S3_112,3234.0,3228.0
E16_E1S3_113,3233.0,2394.0
E16_E1S3_114,3231.0,2812.0
E16_E1S3_115,3231.0,2253.0
E16_E1S3_116,3231.0,2234.0
E16_E1S3_117,3216.0,2882.0
E16_E1S3_119,3227.0,2750.0
E16_E1S3_120,3226.0,2667.0
E16_E1S3_121,3233.0,2277.0
E16_E1S3_122,3223.0,2342.0
E16_E1S3_123,3224.0,2306.0
E16_E1S3_124,3224.0,2905.0
E16_E1S3_125,3221.0,2720.0
E16_E1S3_126,3226.0,1782.0
E16_E1S3_127,3224.0,2515.0
E16_E1S3_128,3224.0,2419.0
E16_E1S3_129,3221.0,1844.0
E16_E1S3_130,3218.0,2694.0
E16_E1S3_132,3222.0,1881.0
E16_E1S3_133,3217.0,2164.0
E16_E1S3_134,3209.0,2646.0
E16_E1S3_135,3218.0,2495.0
E16_E1S3_136,3216.0,2461.0
E16_E1S3_137,3218.0,3245.5
E16_E1S3_138,3215.0,2548.0
E16_E1S3_139,3211.0,2107.0
E16_E1S3_141,3212.0,2961.0
E16_E1S3_142,3211.0,2613.0
E16_E1S3_143,3212.0,2813.0
E16_E1S3_144,3213.0,2773.0
E16_E1S3_145,3211.0,2120.0
E16_E1S3_146,3208.0,3389.0
E16_E1S3_147,3209.0,2923.0
E16_E1S3_148,3209.0,2368.0
E16_E1S3_149,3204.0,3005.0
E16_E1S3_150,3209.5,2863.0
E16_E1S3_151,3210.0,2662.0
E16_E1S3_152,3198.0,2284.0
E16_E1S3_153,3208.0,2243.0
E16_E1S3_154,3212.0,2206.0
E16_E1S3_155,3208.0,1967.0
E16_E1S3_156,3209.0,2079.0
E16_E1S3_157,3204.0,2052.0
E16_E1S3_158,3207.0,2224.0
E16_E1S3_159,3209.0,2301.0
E16_E1S3_160,3197.0,2580.0
E16_E1S3_161,3195.0,2514.0
E16_E1S3_162,3204.0,2737.0
E16_E1S3_163,3202.0,1992.0
E16_E1S3_164,3202.0,1784.0
E16_E1S3_165,3200.0,2441.0
E16_E1S3_166,3194.0,3185.0
E16_E1S3_167,3201.0,2155.0
E16_E1S3_168,3198.0,3324.0
E16_E1S3_169,3194.0,3254.0
E16_E1S3_170,3200.0,2422.0
E16_E1S3_172,3198.0,3351.0
E16_E1S3_173,3196.0,2494.0
E16_E1S3_174,3192.0,3031.0
E16_E1S3_175,3199.0,2754.0
E16_E1S3_176,3191.0,2016.0
E16_E1S3_177,3193.0,2866.0
E16_E1S3_178,3198.0,2606.0
E16_E1S3_179,3192.0,1937.0
E16_E1S3_181,3193.0,2851.0
E16_E1S3_182,3196.0,2469.0
E16_E1S3_183,3189.0,2922.0
E16_E1S3_184,3195.0,2904.0
E16_E1S3_185,3189.0,2120.0
E16_E1S3_186,3193.0,1735.0
E16_E1S3_187,3186.0,3396.0
E16_E1S3_188,3192.0,3418.0
E16_E1S3_189,3190.0,2393.0
E16_E1S3_190,3188.0,3224.0
E16_E1S3_191,3192.0,2813.0
E16_E1S3_192,3191.0,3096.0
E16_E1S3_193,3188.0,2962.0
E16_E1S3_194,3199.0,2688.0
E16_E1S3_195,3186.0,1802.0
E16_E1S3_196,3186.0,2138.0
E16_E1S3_197,3188.0,2040.0
E16_E1S3_198,3174.0,2781.0
E16_E1S3_199,3179.0,2365.0
E16_E1S3_200,3183.0,1892.0
E16_E1S3_201,3180.0,2990.0
E16_E1S3_202,3188.0,2096.0
E16_E1S3_204,3186.0,2721.0
E16_E1S3_205,3185.0,2067.0
E16_E1S3_206,3180.0,3528.0
E16_E1S3_207,3181.0,2321.0
E16_E1S3_208,3181.0,2736.0
E16_E1S3_210,3186.0,2235.0
E16_E1S3_211,3180.0,3433.0
E16_E1S3_212,3178.0,3122.0
E16_E1S3_213,3177.0,1701.0
E16_E1S3_214,3178.0,3319.0
E16_E1S3_215,3186.0,2881.0
E16_E1S3_216,3181.0,2753.0
E16_E1S3_217,3178.0,2698.0
E16_E1S3_218,3179.0,3043.5
E16_E1S3_219,3191.0,2536.0
E16_E1S3_220,3176.0,2474.0
E16_E1S3_221,3172.0,2181.0
E16_E1S3_222,3175.0,3201.0
E16_E1S3_223,3176.0,2492.0
E16_E1S3_224,3176.0,1850.0
E16_E1S3_225,3166.5,2903.0
E16_E1S3_226,3181.0,2665.0
E16_E1S3_227,3177.0,1833.0
E16_E1S3_228,3173.0,3137.0
E16_E1S3_229,3174.0,2852.0
E16_E1S3_230,3170.0,2651.0
E16_E1S3_231,3164.0,2294.0
E16_E1S3_232,3169.0,1954.0
E16_E1S3_233,3173.0,2547.0
E16_E1S3_234,3169.0,2612.0
E16_E1S3_235,3168.0,2016.0
E16_E1S3_236,3166.0,2403.0
E16_E1S3_237,3171.0,2253.0
E16_E1S3_238,3171.0,2563.0
E16_E1S3_239,3176.0,1786.0
E16_E1S3_240,3162.0,2924.0
E16_E1S3_241,3170.0,2453.0
E16_E1S3_242,3168.0,2339.0
E16_E1S3_243,3168.0,3095.0
E16_E1S3_244,3165.0,3548.0
E16_E1S3_245,3166.0,3339.0
E16_E1S3_246,3170.0,1992.0
E16_E1S3_247,3164.0,1933.0
E16_E1S3_248,3173.0,2583.0
E16_E1S3_249,3165.0,2867.0
E16_E1S3_250,3158.0,2423.0
E16_E1S3_251,3162.0,3515.0
E16_E1S3_252,3163.0,2487.0
E16_E1S3_253,3163.0,2370.0
E16_E1S3_254,3162.0,2223.0
E16_E1S3_255,3160.0,2157.0
E16_E1S3_256,3159.0,2127.0
E16_E1S3_257,3161.0,1770.0
E16_E1S3_258,3160.0,2722.0
E16_E1S3_259,3163.0,1733.0
E16_E1S3_260,3162.0,3313.0
E16_E1S3_261,3157.0,1965.0
E16_E1S3_262,3156.0,3418.0
E16_E1S3_263,3160.0,2805.0
E16_E1S3_264,3155.0,2773.0
E16_E1S3_265,3154.0,2201.0
E16_E1S3_266,3157.0,3287.0
E16_E1S3_267,3155.0,3062.0
E16_E1S3_268,3148.0,2663.0
E16_E1S3_269,3145.0,2040.0
E16_E1S3_270,3149.0,2840.0
E16_E1S3_271,3159.0,2635.0
E16_E1S3_272,3155.0,2966.0
E16_E1S3_273,3151.0,2743.0
E16_E1S3_274,3159.0,1914.0
E16_E1S3_275,3152.0,3076.0
E16_E1S3_276,3150.0,2572.0
E16_E1S3_277,3152.0,2257.0
E16_E1S3_278,3154.0,2514.0
E16_E1S3_279,3152.0,1711.0
E16_E1S3_280,3141.0,3029.0
E16_E1S3_281,3153.0,2182.0
E16_E1S3_282,3142.0,2062.0
E16_E1S3_283,3140.0,1983.0
E16_E1S3_284,3151.0,3462.0
E16_E1S3_285,3153.0,2598.0
E16_E1S3_286,3148.0,2543.0
E16_E1S3_287,3146.0,3565.0
E16_E1S3_288,3143.0,3370.0
E16_E1S3_290,3138.0,2455.0
E16_E1S3_291,3146.0,2292.0
E16_E1S3_292,3145.0,2884.0
E16_E1S3_293,3151.0,2613.0
E16_E1S3_294,3150.0,2935.0
E16_E1S3_295,3143.0,2389.0
E16_E1S3_296,3139.0,2163.0
E16_E1S3_297,3145.0,1799.0
E16_E1S3_298,3141.0,2091.0
E16_E1S3_300,3140.0,1630.0
E16_E1S3_301,3143.0,2234.0
E16_E1S3_302,3144.0,3252.0
E16_E1S3_303,3147.0,2685.0
E16_E1S3_304,3147.0,3590.0
E16_E1S3_305,3143.0,3004.0
E16_E1S3_306,3140.0,2368.0
E16_E1S3_307,3136.0,2108.0
E16_E1S3_308,3138.0,2906.0
E16_E1S3_309,3132.0,2481.0
E16_E1S3_310,3140.0,1868.0
E16_E1S3_311,3134.0,2207.0
E16_E1S3_312,3139.0,2015.0
E16_E1S3_313,3143.0,2704.0
E16_E1S3_314,3133.0,2501.0
E16_E1S3_315,3145.0,2331.0
E16_E1S3_317,3135.0,3149.0
E16_E1S3_318,3133.0,1770.0
E16_E1S3_319,3142.0,3121.0
E16_E1S3_320,3134.0,2539.0
E16_E1S3_321,3137.0,2817.0
E16_E1S3_322,3130.0,2624.0
E16_E1S3_323,3130.0,2554.0
E16_E1S3_324,3130.0,1925.0
E16_E1S3_325,3128.0,1674.0
E16_E1S3_326,3132.0,3088.0
E16_E1S3_327,3122.0,3056.0
E16_E1S3_329,3134.0,3344.0
E16_E1S3_330,3130.0,3622.0
E16_E1S3_331,3128.0,2926.0
E16_E1S3_332,3124.0,2308.0
E16_E1S3_333,3129.0,2277.0
E16_E1S3_334,3128.0,1826.0
E16_E1S3_335,3120.0,3702.0
E16_E1S3_336,3128.0,2773.0
E16_E1S3_337,3123.0,2755.0
E16_E1S3_339,3129.0,2124.0
E16_E1S3_340,3134.0,3479.0
E16_E1S3_341,3117.0,3443.0
E16_E1S3_342,3127.0,2255.0
E16_E1S3_343,3124.0,3668.0
E16_E1S3_344,3126.0,3364.0
E16_E1S3_345,3126.0,2799.0
E16_E1S3_346,3130.0,2570.0
E16_E1S3_348,3125.0,2877.0
E16_E1S3_349,3124.0,2076.0
E16_E1S3_350,3122.0,2035.0
E16_E1S3_351,3123.0,1969.0
E16_E1S3_352,3124.0,2993.0
E16_E1S3_353,3118.0,2738.0
E16_E1S3_354,3122.0,2001.0
E16_E1S3_355,3122.0,3134.0
E16_E1S3_356,3119.0,3076.0
E16_E1S3_357,3131.0,2956.0
E16_E1S3_358,3118.0,2901.0
E16_E1S3_359,3123.0,2438.0
E16_E1S3_360,3114.0,1748.0
E16_E1S3_362,3119.0,2646.0
E16_E1S3_363,3119.0,2417.0
E16_E1S3_364,3116.0,1621.0
E16_E1S3_366,3117.0,2180.0
E16_E1S3_367,3116.0,1661.0
E16_E1S3_368,3116.0,2497.0
E16_E1S3_369,3111.0,1887.0
E16_E1S3_370,3117.0,3743.0
E16_E1S3_371,3113.0,2693.0
E16_E1S3_372,3114.0,2400.0
E16_E1S3_373,3120.0,2516.0
E16_E1S3_374,3117.0,2339.0
E16_E1S3_375,3105.0,3176.0
E16_E1S3_376,3114.0,2708.0
E16_E1S3_377,3112.0,2587.0
E16_E1S3_378,3112.0,2279.0
E16_E1S3_379,3116.0,2057.0
E16_E1S3_380,3110.0,1860.0
E16_E1S3_381,3109.0,3287.0
E16_E1S3_382,3111.0,3093.0
E16_E1S3_384,3114.0,3109.0
E16_E1S3_385,3113.5,2842.0
E16_E1S3_386,3112.0,2766.0
E16_E1S3_387,3111.0,2379.0
E16_E1S3_388,3111.0,2157.0
E16_E1S3_389,3113.0,1943.0
E16_E1S3_390,3102.0,2324.0
E16_E1S3_391,3105.0,2030.0
E16_E1S3_392,3113.0,1793.0
E16_E1S3_393,3111.0,3424.0
E16_E1S3_394,3113.0,1772.0
E16_E1S3_395,3107.0,2925.0
E16_E1S3_396,3107.0,2072.0
E16_E1S3_398,3103.0,2797.0
E16_E1S3_399,3103.0,1601.0
E16_E1S3_401,3101.0,2858.0
E16_E1S3_402,3102.0,2563.0
E16_E1S3_403,3100.0,3239.0
E16_E1S3_404,3100.0,2979.0
E16_E1S3_405,3101.0,2646.0
E16_E1S3_406,3102.0,3612.0
E16_E1S3_407,3095.0,3568.0
E16_E1S3_408,3102.0,2531.0
E16_E1S3_409,3103.0,2464.0
E16_E1S3_410,3109.0,2236.0
E16_E1S3_411,3100.5,2879.0
E16_E1S3_412,3102.0,2214.0
E16_E1S3_413,3099.0,2181.0
E16_E1S3_414,3100.0,2259.0
E16_E1S3_415,3099.0,2130.0
E16_E1S3_416,3095.0,1713.0
E16_E1S3_417,3099.0,2783.0
E16_E1S3_418,3096.0,2451.0
E16_E1S3_419,3096.0,2196.5
E16_E1S3_420,3094.0,3831.0
E16_E1S3_421,3095.0,2665.0
E16_E1S3_422,3090.0,3722.0
E16_E1S3_423,3094.0,2895.0
E16_E1S3_424,3100.5,2731.0
E16_E1S3_425,3098.0,2100.0
E16_E1S3_426,3088.0,3903.0
E16_E1S3_427,3098.0,3787.0
E16_E1S3_428,3090.0,3080.0
E16_E1S3_429,3089.0,2425.0
E16_E1S3_430,3095.5,1943.0
E16_E1S3_431,3095.0,3270.0
E16_E1S3_432,3093.0,2494.0
E16_E1S3_433,3092.0,2481.0
E16_E1S3_434,3094.0,2158.0
