Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_101692,E12_E1S3,NeuB,16157,18630
E12_E1S3_101693,E12_E1S3,Fibro,16161,18729
E12_E1S3_101706,E12_E1S3,NeuB,16159,18602
E12_E1S3_101715,E12_E1S3,RGC,16156,18439
E12_E1S3_101716,E12_E1S3,RGC,16173,18526
E12_E1S3_101720,E12_E1S3,GluNeuB,16157,18320
E12_E1S3_101721,E12_E1S3,NeuB,16163,18654
E12_E1S3_101740,E12_E1S3,GluNeuB,16160,18294
E12_E1S3_101752,E12_E1S3,GluNeu,16163,18251
E12_E1S3_101753,E12_E1S3,GlioB,16168,18424
E12_E1S3_101763,E12_E1S3,Fibro,16164,18578
E12_E1S3_101764,E12_E1S3,Endo,16163,18828
E12_E1S3_101790,E12_E1S3,RGC,16168,18410
E12_E1S3_101791,E12_E1S3,GlioB,16174.5,18559
E12_E1S3_101792,E12_E1S3,Fibro,16178,18772
E12_E1S3_101804,E12_E1S3,RGC,16168,18702
E12_E1S3_101805,E12_E1S3,Fibro,16165,18888
E12_E1S3_101813,E12_E1S3,RGC,16174,18332
E12_E1S3_101841,E12_E1S3,RGC,16172,18684
E12_E1S3_101842,E12_E1S3,GABA,16177,18737
E12_E1S3_101848,E12_E1S3,RGC,16187,18620
E12_E1S3_101858,E12_E1S3,RGC,16178,18596
E12_E1S3_101869,E12_E1S3,RGC,16176,18364
E12_E1S3_101882,E12_E1S3,RGC,16180,18444
E12_E1S3_101883,E12_E1S3,Endo,16182,18834
E12_E1S3_101894,E12_E1S3,GABA,16181,18211
E12_E1S3_101895,E12_E1S3,Endo,16184,18473
E12_E1S3_101896,E12_E1S3,Endo,16185,18802
E12_E1S3_101906,E12_E1S3,GluNeuB,16183,18271
E12_E1S3_101939,E12_E1S3,Endo,16185,18906
E12_E1S3_101947,E12_E1S3,RGC,16183,18392
E12_E1S3_101965,E12_E1S3,GluNeuB,16193,18293
E12_E1S3_101966,E12_E1S3,RGC,16197,18641
E12_E1S3_101984,E12_E1S3,Ery,16182,18493
E12_E1S3_101997,E12_E1S3,RGC,16192,18707
