Cell_ID,x,y
E16_E2S6_989,3982.0,2526.0
E16_E2S6_990,3986.0,2200.0
E16_E2S6_991,3986.0,2038.0
E16_E2S6_997,3980.0,3102.0
E16_E2S6_998,3982.0,2319.0
E16_E2S6_999,3986.0,2013.0
E16_E2S6_1000,3986.0,1682.0
E16_E2S6_1003,3980.0,2600.0
E16_E2S6_1004,3984.0,2183.0
E16_E2S6_1008,3976.0,3208.0
E16_E2S6_1012,3982.0,1842.0
E16_E2S6_1018,3976.0,2782.0
E16_E2S6_1019,3981.0,2447.0
E16_E2S6_1021,3978.0,2261.0
E16_E2S6_1025,3980.0,2340.0
E16_E2S6_1026,3982.0,1710.0
E16_E2S6_1028,3974.0,3432.0
E16_E2S6_1029,3973.0,2470.0
E16_E2S6_1030,3974.0,2160.0
E16_E2S6_1032,3976.0,3386.0
E16_E2S6_1033,3973.0,2420.0
E16_E2S6_1034,3965.0,1593.0
E16_E2S6_1037,3970.0,3412.0
E16_E2S6_1039,3972.0,2881.0
E16_E2S6_1040,3972.0,2205.0
E16_E2S6_1041,3973.0,2143.0
E16_E2S6_1042,3970.0,1879.0
E16_E2S6_1045,3974.0,3012.0
E16_E2S6_1046,3971.0,2244.0
E16_E2S6_1047,3972.0,2117.0
E16_E2S6_1048,3961.0,2807.0
E16_E2S6_1051,3968.0,2632.0
E16_E2S6_1052,3959.0,2571.0
E16_E2S6_1053,3963.0,1902.0
E16_E2S6_1054,3966.0,3055.0
E16_E2S6_1055,3969.0,2306.0
E16_E2S6_1058,3965.0,3104.0
E16_E2S6_1060,3969.0,2103.0
E16_E2S6_1066,3959.0,2506.0
E16_E2S6_1067,3963.0,2746.0
E16_E2S6_1068,3960.0,2596.0
E16_E2S6_1069,3962.0,1958.0
E16_E2S6_1070,3958.0,1808.0
E16_E2S6_1073,3968.0,2390.0
E16_E2S6_1076,3961.0,3139.0
E16_E2S6_1077,3961.0,2059.0
E16_E2S6_1079,3962.0,2928.0
E16_E2S6_1080,3964.0,2078.0
E16_E2S6_1081,3953.0,2030.0
E16_E2S6_1082,3965.0,1650.0
E16_E2S6_1085,3956.0,3179.0
E16_E2S6_1086,3957.0,2529.0
E16_E2S6_1087,3958.5,1838.0
E16_E2S6_1093,3955.0,2904.0
E16_E2S6_1095,3958.0,2773.0
E16_E2S6_1097,3952.0,3441.0
E16_E2S6_1099,3959.0,2713.0
E16_E2S6_1100,3949.0,2671.0
E16_E2S6_1101,3951.0,2547.0
E16_E2S6_1102,3956.0,2440.0
E16_E2S6_1103,3958.0,1726.0
E16_E2S6_1106,3954.0,2980.0
E16_E2S6_1107,3952.0,2882.0
E16_E2S6_1111,3950.0,2414.5
E16_E2S6_1112,3952.0,1973.0
E16_E2S6_1114,3949.0,2830.0
E16_E2S6_1119,3948.0,2476.0
E16_E2S6_1121,3945.0,2639.0
E16_E2S6_1122,3944.0,2395.0
E16_E2S6_1123,3947.0,1991.5
E16_E2S6_1125,3945.0,1606.0
E16_E2S6_1126,3948.0,3118.0
E16_E2S6_1127,3948.0,2790.0
E16_E2S6_1128,3949.0,2328.0
E16_E2S6_1131,3944.0,1557.0
E16_E2S6_1136,3945.0,2584.0
E16_E2S6_1137,3946.0,2259.0
E16_E2S6_1138,3945.0,1877.0
E16_E2S6_1139,3951.0,1859.0
E16_E2S6_1141,3946.0,3466.0
E16_E2S6_1142,3941.0,2599.0
E16_E2S6_1143,3944.0,2369.0
E16_E2S6_1144,3944.0,1896.0
E16_E2S6_1147,3942.0,2754.0
E16_E2S6_1149,3934.0,3218.0
E16_E2S6_1150,3938.0,1743.0
E16_E2S6_1156,3938.0,2699.0
E16_E2S6_1157,3931.0,1796.0
E16_E2S6_1161,3936.0,2664.0
E16_E2S6_1162,3940.0,1701.0
E16_E2S6_1164,3934.0,3076.0
E16_E2S6_1165,3935.0,2141.0
E16_E2S6_1167,3938.0,3199.0
E16_E2S6_1168,3931.0,2812.0
E16_E2S6_1169,3933.0,2442.0
E16_E2S6_1171,3931.0,1833.0
E16_E2S6_1172,3938.0,1766.0
E16_E2S6_1174,3937.0,3019.0
E16_E2S6_1175,3928.5,2906.0
E16_E2S6_1176,3933.0,2716.0
E16_E2S6_1177,3931.0,1716.0
E16_E2S6_1178,3925.0,1493.0
E16_E2S6_1182,3927.0,3496.0
E16_E2S6_1183,3931.0,2771.0
E16_E2S6_1184,3929.0,2632.0
E16_E2S6_1185,3931.0,2486.0
E16_E2S6_1186,3936.0,2457.0
E16_E2S6_1190,3925.0,3098.0
E16_E2S6_1191,3921.0,1670.0
E16_E2S6_1193,3937.0,2956.0
E16_E2S6_1198,3924.0,2565.0
E16_E2S6_1199,3929.0,1549.0
E16_E2S6_1201,3920.0,3244.0
E16_E2S6_1202,3916.0,2680.0
E16_E2S6_1203,3930.0,2515.0
E16_E2S6_1207,3923.0,2313.0
E16_E2S6_1208,3926.0,2232.0
E16_E2S6_1212,3920.0,3055.0
E16_E2S6_1213,3925.0,2998.0
E16_E2S6_1214,3924.0,2881.0
E16_E2S6_1215,3920.0,2529.0
E16_E2S6_1218,3918.0,1919.0
E16_E2S6_1219,3916.0,2657.0
E16_E2S6_1221,3918.0,3382.0
E16_E2S6_1225,3908.0,3533.0
E16_E2S6_1230,3913.0,3080.0
E16_E2S6_1231,3914.0,2776.0
